Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Jets  (13604498),Jets ,13604498,FLEX,2800,NE@NYJ 10/21/2019 08:15PM ET,NYJ,8.8
RB,Ty Montgomery (13604537),Ty Montgomery,13604537,CPT,2700,NE@NYJ 10/21/2019 08:15PM ET,NYJ,2.46
TE,Chris Herndon (13604499),Chris Herndon,13604499,FLEX,2200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
TE,Ryan Griffin (13604538),Ryan Griffin,13604538,CPT,2100,NE@NYJ 10/21/2019 08:15PM ET,NYJ,3.7
RB,Ty Montgomery (13604500),Ty Montgomery,13604500,FLEX,1800,NE@NYJ 10/21/2019 08:15PM ET,NYJ,2.46
WR,Gunner Olszewski (13604539),Gunner Olszewski,13604539,CPT,1500,NE@NYJ 10/21/2019 08:15PM ET,NE,0.73
TE,Ryan Griffin (13604501),Ryan Griffin,13604501,FLEX,1400,NE@NYJ 10/21/2019 08:15PM ET,NYJ,3.7
WR,Gunner Olszewski (13604502),Gunner Olszewski,13604502,FLEX,1000,NE@NYJ 10/21/2019 08:15PM ET,NE,0.73
WR,Braxton Berrios (13604540),Braxton Berrios,13604540,CPT,900,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0.98
WR,Braxton Berrios (13604503),Braxton Berrios,13604503,FLEX,600,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0.98
WR,Matthew Slater (13604541),Matthew Slater,13604541,CPT,600,NE@NYJ 10/21/2019 08:15PM ET,NE,0
WR,Matthew Slater (13604504),Matthew Slater,13604504,FLEX,400,NE@NYJ 10/21/2019 08:15PM ET,NE,0
TE,Ryan Izzo (13604542),Ryan Izzo,13604542,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NE,3.9
RB,Bilal Powell (13604543),Bilal Powell,13604543,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0.3
TE,Matt LaCosse (13604544),Matt LaCosse,13604544,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NE,2.12
TE,Eric Tomlinson (13604545),Eric Tomlinson,13604545,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NE,0
TE,Trevon Wesco (13604546),Trevon Wesco,13604546,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
WR,Vyncint Smith (13604547),Vyncint Smith,13604547,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NYJ,4.7
TE,Daniel Brown (13604548),Daniel Brown,13604548,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
WR,Josh Bellamy (13604549),Josh Bellamy,13604549,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0.8
RB,Trenton Cannon (13604550),Trenton Cannon,13604550,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
RB,Damien Harris (13604551),Damien Harris,13604551,CPT,300,NE@NYJ 10/21/2019 08:15PM ET,NE,0
TE,Ryan Izzo (13604505),Ryan Izzo,13604505,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NE,3.9
RB,Bilal Powell (13604506),Bilal Powell,13604506,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0.3
TE,Matt LaCosse (13604507),Matt LaCosse,13604507,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NE,2.12
TE,Eric Tomlinson (13604508),Eric Tomlinson,13604508,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NE,0
TE,Trevon Wesco (13604509),Trevon Wesco,13604509,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
WR,Vyncint Smith (13604510),Vyncint Smith,13604510,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,4.7
TE,Daniel Brown (13604511),Daniel Brown,13604511,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
WR,Josh Bellamy (13604512),Josh Bellamy,13604512,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0.8
RB,Trenton Cannon (13604513),Trenton Cannon,13604513,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
RB,Damien Harris (13604514),Damien Harris,13604514,FLEX,200,NE@NYJ 10/21/2019 08:15PM ET,NE,0
